,Graph File,Algorithm,Reg,Stepsize,Clique Size,Valid,Runtime (s),History
0,C250-9.mtx,FW,l2,Optimal Gamma (LS),29,True,0.0307656990007672,"[np.float64(0.5), np.float64(0.75), np.float64(0.8333333333333333), np.float64(0.8749999999999999), np.float64(0.9), np.float64(0.9166666666666669), np.float64(0.9285714285714285), np.float64(0.9374999999999998), np.float64(0.9444444444444444), np.float64(0.9500000000000002), np.float64(0.9545454545454546), np.float64(0.9583333333333333), np.float64(0.9615384615384615), np.float64(0.9642857142857143), np.float64(0.9666666666666668), np.float64(0.9687499999999999), np.float64(0.9705882352941176), np.float64(0.9722222222222222), np.float64(0.9736842105263158), np.float64(0.9749999999999999), np.float64(0.9761904761904762), np.float64(0.9772727272727274), np.float64(0.9782608695652174), np.float64(0.9791666666666667), np.float64(0.98), np.float64(0.9807692307692306), np.float64(0.9814814814814814), np.float64(0.9821428571428571), np.float64(0.9827586206896551)]"
1,C250-9.mtx,PFW,l2,Optimal Gamma (LS),32,True,0.07414661319999141,"[np.float64(0.5), np.float64(0.75), np.float64(0.8125), np.float64(0.875), np.float64(0.8906250000000001), np.float64(0.90625), np.float64(0.9218750000000003), np.float64(0.9375), np.float64(0.9414062500000004), np.float64(0.9453125000000001), np.float64(0.9492187500000004), np.float64(0.953125), np.float64(0.9570312500000002), np.float64(0.9609375), np.float64(0.9648437500000004), np.float64(0.9687499999999999), np.float64(0.9697265625000003), np.float64(0.970703125), np.float64(0.9716796875000002), np.float64(0.9726562500000001), np.float64(0.9736328125000001), np.float64(0.9746093750000001), np.float64(0.9755859375), np.float64(0.9765625), np.float64(0.9775390625000004), np.float64(0.9785156250000002), np.float64(0.9794921875000002), np.float64(0.9804687500000002), np.float64(0.9814453125000002), np.float64(0.9824218750000002), np.float64(0.9833984375000001), np.float64(0.984375)]"
2,C250-9.mtx,AFW,l2,Optimal Gamma (LS),31,True,0.023024363799777348,"[np.float64(0.5), np.float64(0.75), np.float64(0.8333333333333333), np.float64(0.875), np.float64(0.9000000000000004), np.float64(0.9166666666666669), np.float64(0.9285714285714288), np.float64(0.9375000000000002), np.float64(0.9444444444444446), np.float64(0.9500000000000002), np.float64(0.9545454545454546), np.float64(0.9583333333333334), np.float64(0.9615384615384616), np.float64(0.9642857142857143), np.float64(0.9666666666666667), np.float64(0.9687500000000002), np.float64(0.9705882352941175), np.float64(0.9722222222222224), np.float64(0.9736842105263158), np.float64(0.9750000000000002), np.float64(0.9761904761904764), np.float64(0.9772727272727275), np.float64(0.9782608695652176), np.float64(0.9791666666666666), np.float64(0.9799999999999998), np.float64(0.9807692307692312), np.float64(0.9814814814814817), np.float64(0.9821428571428573), np.float64(0.9827586206896554), np.float64(0.9833333333333335), np.float64(0.9838709677419352)]"
3,C250-9.mtx,PGD,l2,Optimal Gamma (LS),35,True,0.07620578599926375,"[np.float64(0.5), np.float64(0.8480980856100978), np.float64(0.924320982868692), np.float64(0.9558456584042059), np.float64(0.9730112464220562), np.float64(0.9779916957273197), np.float64(0.9806147387949502), np.float64(0.9811947185505222), np.float64(0.9829658631496421), np.float64(0.9831986303685227), np.float64(0.9838482991590974), np.float64(0.9838567295619776), np.float64(0.9845652407051795), np.float64(0.9849092554026259), np.float64(0.9852955556773545), np.float64(0.985459757998748), np.float64(0.9856205279439313), np.float64(0.9856908458533071), np.float64(0.9857084256444592), np.float64(0.9857128206706752), np.float64(0.9857139194468549), np.float64(0.9857141941458202), np.float64(0.9857142628217535), np.float64(0.985714279991046), np.float64(0.9857142842834513), np.float64(0.9857142853565574), np.float64(0.985714285624856)]"
4,C250-9.mtx,FW,l0,Optimal Gamma (LS),30,True,0.053514499000812066,"[np.float64(-0.06952834371006403), np.float64(0.3714918998073458), np.float64(0.4963305432625526), np.float64(0.5502213431208325), np.float64(0.5787578044099886), np.float64(0.5958645809051109), np.float64(0.6070182703249475), np.float64(0.6147463999699183), np.float64(0.6203535439516842), np.float64(0.6245714617974771), np.float64(0.6278379516738433), np.float64(0.6304287960341113), np.float64(0.6325252055502191), np.float64(0.6342505151975493), np.float64(0.6356912094339588), np.float64(0.6369095044186659), np.float64(0.637951162832926), np.float64(0.6388505062234437), np.float64(0.6396337214212504), np.float64(0.6403210962989987), np.float64(0.6409285651656148), np.float64(0.6414687981803854), np.float64(0.6419519830330859), np.float64(0.642386394864906), np.float64(0.6427788178844214), np.float64(0.6431348614405964), np.float64(0.6434591998739025), np.float64(0.6437557565776024), np.float64(0.6440278467137335), np.float64(0.6442782889349661)]"
5,C250-9.mtx,PFW,l0,Optimal Gamma (LS),31,True,0.1066840374001913,"[np.float64(-0.06952834371006403), np.float64(0.3714918998073458), np.float64(0.4608566214640995), np.float64(0.5502213431208532), np.float64(0.5663526073332985), np.float64(0.5824838715457438), np.float64(0.598615135758189), np.float64(0.6147463999706345), np.float64(0.6175167880268351), np.float64(0.6202871760830357), np.float64(0.6230575641392363), np.float64(0.625827952195437), np.float64(0.6285983402516373), np.float64(0.6313687283078377), np.float64(0.6341391163640382), np.float64(0.6369095044202389), np.float64(0.6373978812170131), np.float64(0.6378862580137874), np.float64(0.6383746348105616), np.float64(0.6388630116073357), np.float64(0.63935138840411), np.float64(0.6398397652008845), np.float64(0.6403281419976586), np.float64(0.6408165187944329), np.float64(0.6413048955912071), np.float64(0.6417932723879813), np.float64(0.6422816491847556), np.float64(0.6427700259815297), np.float64(0.643258402778304), np.float64(0.6437467795750783), np.float64(0.6442351563718524), np.float64(0.6443852862030995), np.float64(0.6444194851571668), np.float64(0.6444536829561414), np.float64(0.6444618040170926), np.float64(0.6444699248098789), np.float64(0.6444780409188833), np.float64(0.644486156759646), np.float64(0.6444881328082668), np.float64(0.6444901087924335), np.float64(0.6444920836508363), np.float64(0.6444940584448053), np.float64(0.6444960332387354), np.float64(0.6444980079683369), np.float64(0.6444999815736832), np.float64(0.6445019551146429), np.float64(0.6445024422117822), np.float64(0.6445029293032396), np.float64(0.6445034163846017), np.float64(0.6445039034602751), np.float64(0.6445043902660077), np.float64(0.6445048770660537), np.float64(0.6445053638560128), np.float64(0.6445058506459617), np.float64(0.6445063374302298), np.float64(0.6445068242144887), np.float64(0.6445073109886829), np.float64(0.6445077977571959), np.float64(0.6445082842561319), np.float64(0.644508770749382), np.float64(0.6445092572325544), np.float64(0.6445093799320375), np.float64(0.6445094105546401), np.float64(0.644509441061994), np.float64(0.6445094486940848), np.float64(0.644509456311519), np.float64(0.6445094639142743), np.float64(0.6445094715027418), np.float64(0.6445094734085703), np.float64(0.6445094753140614), np.float64(0.644509477216094), np.float64(0.6445094791176131), np.float64(0.6445094810077556), np.float64(0.6445094828973863), np.float64(0.6445094847834826), np.float64(0.6445094866690675), np.float64(0.6445094871239498), np.float64(0.6445094875786401), np.float64(0.6445094880332403), np.float64(0.6445094884837212), np.float64(0.644509488933702), np.float64(0.6445094893834877), np.float64(0.6445094898332344), np.float64(0.6445094902828526), np.float64(0.6445094907323425), np.float64(0.6445094911816422), np.float64(0.6445094916308518), np.float64(0.6445094920759626), np.float64(0.6445094925205556), np.float64(0.644509492964958), np.float64(0.6445094934092714)]"
6,C250-9.mtx,AFW,l0,Optimal Gamma (LS),31,True,0.044867742600035856,"[np.float64(-0.06952834371006403), np.float64(0.3714918998073458), np.float64(0.4963305432625526), np.float64(0.5502213431208323), np.float64(0.5787578044099884), np.float64(0.5958645809051109), np.float64(0.6070182703249472), np.float64(0.6147463999699179), np.float64(0.6203535439516839), np.float64(0.6245714617974769), np.float64(0.627837951673843), np.float64(0.6304287960341113), np.float64(0.6325252055502186), np.float64(0.6342505151975493), np.float64(0.6356912094339588), np.float64(0.6369095044186661), np.float64(0.6379511628329261), np.float64(0.6388505062234435), np.float64(0.6396337214212502), np.float64(0.6403210962989987), np.float64(0.640928565165615), np.float64(0.6414687981803856), np.float64(0.641951983033086), np.float64(0.6423863948649059), np.float64(0.6427788178844214), np.float64(0.6431348614405966), np.float64(0.6434591998739025), np.float64(0.6437557565776022), np.float64(0.6440278467137335), np.float64(0.6442782889349663), np.float64(0.6445094936242526)]"
7,C250-9.mtx,PGD,l0,Optimal Gamma (LS),35,True,0.10611982399859698,"[np.float64(-0.06952834371006403), np.float64(0.5720537815714983), np.float64(0.607090476444842), np.float64(0.6321115337043404), np.float64(0.6408931623705025), np.float64(0.6430419761299843), np.float64(0.6437734987011734), np.float64(0.6443043582122276), np.float64(0.6446473325713395), np.float64(0.644884491465386), np.float64(0.6450414368018598), np.float64(0.6451372153783024), np.float64(0.645195045820791), np.float64(0.645229668453362), np.float64(0.6452502370567661), np.float64(0.6452623756397343), np.float64(0.6452695000367895), np.float64(0.6452736630164518), np.float64(0.645276087017461), np.float64(0.6452774945632641), np.float64(0.6452783101303564), np.float64(0.645278781906416), np.float64(0.6452790544634632), np.float64(0.6452792117724736), np.float64(0.64527930249696), np.float64(0.6452793547904063), np.float64(0.6452793849191159), np.float64(0.6452794022719617), np.float64(0.6452794122639194), np.float64(0.6452794180163004), np.float64(0.6452794213274549), np.float64(0.6452794232332162), np.float64(0.6452794243299755), np.float64(0.6452794249611237), np.float64(0.6452794253243281), np.float64(0.6452794255333176)]"
8,C250-9.mtx,FW,l2,Armijo Rule,30,True,0.06399826699998812,"[np.float64(0.5), np.float64(0.75), np.float64(0.8125), np.float64(0.828125), np.float64(0.83203125), np.float64(0.8330078125), np.float64(0.833251953125), np.float64(0.83331298828125), np.float64(0.8749885559082031), np.float64(0.8984310626983643), np.float64(0.9116174727678299), np.float64(0.9190348284319043), np.float64(0.9232070909929462), np.float64(0.9255539886835322), np.float64(0.9268741186344869), np.float64(0.9276166917318989), np.float64(0.9280343890991931), np.float64(0.9282693438682961), np.float64(0.9284015059259165), np.float64(0.928475847083328), np.float64(0.9285176639843721), np.float64(0.9285411859912093), np.float64(0.9285544171200552), np.float64(0.9285618596300312), np.float64(0.9285660460418925), np.float64(0.9374958790008239), np.float64(0.9443327823600058), np.float64(0.9495672864943794), np.float64(0.9535749537222593), np.float64(0.9566433239436047), np.float64(0.9589892503918398), np.float64(0.96078576214158), np.float64(0.9621590544327207), np.float64(0.9632066978129303), np.float64(0.9640021785980623), np.float64(0.964599631512957), np.float64(0.9650367790437852), np.float64(0.9653635844831886), np.float64(0.9656045949856966), np.float64(0.9657901248920583), np.float64(0.9659298233323991), np.float64(0.9660258231111046), np.float64(0.9660865399620487), np.float64(0.966118112824821), np.float64(0.9661248867422771), np.float64(0.9681977053700633), np.float64(0.9700004884000741), np.float64(0.9715611779012114), np.float64(0.9729031429439038), np.float64(0.9740454360144994), np.float64(0.9750029440426922), np.float64(0.9757864282194898), np.float64(0.9764024428422448), np.float64(0.9769611463530872), np.float64(0.9774275023480755), np.float64(0.9778109298190232), np.float64(0.9781709122937845), np.float64(0.9784625458777055), np.float64(0.9786903924926449), np.float64(0.978907003633404), np.float64(0.9790790321362877), np.float64(0.9791995928533357), np.float64(0.9792726496560687), np.float64(0.9793015450078434), np.float64(0.9797943318899239), np.float64(0.9802252354529611), np.float64(0.9805944561469859), np.float64(0.9809022850437855), np.float64(0.9811482969656611), np.float64(0.981331990689156), np.float64(0.9814932569518214), np.float64(0.9816255052621136), np.float64(0.9817607241381566), np.float64(0.9818728942371762), np.float64(0.9819567912461682), np.float64(0.9820514749222355), np.float64(0.9821188363071426), np.float64(0.9821648507594047), np.float64(0.982218430119556), np.float64(0.9822421452176062), np.float64(0.9822579329383825), np.float64(0.9822685335809959), np.float64(0.9823863500493029), np.float64(0.9824944051142201), np.float64(0.9825929477123083), np.float64(0.9826702341722922), np.float64(0.9827436573035133), np.float64(0.9828067159745151), np.float64(0.9828673158682042), np.float64(0.9829126932963277), np.float64(0.9829604393502801), np.float64(0.9829903066009761), np.float64(0.9830230772344478), np.float64(0.9830391615796112), np.float64(0.9830593551531264), np.float64(0.9830612885299115), np.float64(0.9830662231102772), np.float64(0.9830954544384208), np.float64(0.9831174961961109), np.float64(0.9831399490693263), np.float64(0.9831585736649389)]"
9,C250-9.mtx,PFW,l2,Armijo Rule,33,True,0.055267959399498065,"[np.float64(0.5), np.float64(0.75), np.float64(0.8125), np.float64(0.875), np.float64(0.890625), np.float64(0.90625), np.float64(0.921875), np.float64(0.9375), np.float64(0.94140625), np.float64(0.9453125), np.float64(0.94921875), np.float64(0.953125), np.float64(0.95703125), np.float64(0.9609375), np.float64(0.96484375), np.float64(0.96875), np.float64(0.9697265625), np.float64(0.970703125), np.float64(0.9716796875), np.float64(0.97265625), np.float64(0.9736328125), np.float64(0.974609375), np.float64(0.9755859375), np.float64(0.9765625), np.float64(0.9775390625), np.float64(0.978515625), np.float64(0.9794921875), np.float64(0.98046875), np.float64(0.9814453125), np.float64(0.982421875), np.float64(0.9833984375), np.float64(0.984375), np.float64(0.984619140625), np.float64(0.98468017578125), np.float64(0.9847412109375), np.float64(0.9847564697265625), np.float64(0.984771728515625), np.float64(0.9847869873046875), np.float64(0.98480224609375), np.float64(0.9848060607910156), np.float64(0.9848098754882812), np.float64(0.9848136901855469), np.float64(0.9848175048828125), np.float64(0.9848213195800781), np.float64(0.9848251342773438), np.float64(0.9848289489746094), np.float64(0.984832763671875), np.float64(0.9848337173461914), np.float64(0.9848346710205078), np.float64(0.9848356246948242), np.float64(0.9848365783691406), np.float64(0.984837532043457), np.float64(0.9848384857177734), np.float64(0.9848394393920898), np.float64(0.9848403930664062), np.float64(0.9848413467407227), np.float64(0.9848423004150391), np.float64(0.9848432540893555), np.float64(0.9848442077636719), np.float64(0.9848451614379883), np.float64(0.9848461151123047), np.float64(0.9848470687866211), np.float64(0.9848480224609375), np.float64(0.9848482608795166), np.float64(0.9848482645465992), np.float64(0.9848482682136819), np.float64(0.9848482682709658), np.float64(0.9848482683282498), np.float64(0.9848483260561558), np.float64(0.9848483837840618), np.float64(0.9848483842319782), np.float64(0.9848483846798947), np.float64(0.9848483851273704), np.float64(0.9848483855748462), np.float64(0.9848483997820937), np.float64(0.9848484139893412), np.float64(0.984848428196587), np.float64(0.9848484424038328), np.float64(0.984848442460849), np.float64(0.9848484425178652), np.float64(0.9848484425748797), np.float64(0.9848484426318943), np.float64(0.9848484426871744), np.float64(0.9848484427424548), np.float64(0.984848442797735), np.float64(0.9848484428530152), np.float64(0.9848484463766988), np.float64(0.9848484499003823), np.float64(0.9848484534240659), np.float64(0.9848484569477495), np.float64(0.9848484604714297), np.float64(0.9848484639951098), np.float64(0.98484846751879), np.float64(0.9848484710424701), np.float64(0.9848484710494503), np.float64(0.984848471926905), np.float64(0.9848484728043193), np.float64(0.9848484736817337), np.float64(0.9848484745488839), np.float64(0.9848484754160348), np.float64(0.9848484762831857)]"
